short_name,fish_id,time_point,macrophage_count,time_in_min,time_in_h,cancer_cells,dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,2.0,45.0,1500.0,25.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,4.0,39.0,1560.0,26.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,6.0,33.0,1620.0,27.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,8.0,38.0,1680.0,28.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,10.0,33.0,1740.0,29.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,12.0,23.0,1800.0,30.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,14.0,27.0,1860.0,31.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,16.0,23.0,1920.0,32.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,18.0,19.0,1980.0,33.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,20.0,18.0,2040.0,34.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,22.0,26.0,2100.0,35.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,24.0,20.0,2160.0,36.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,26.0,17.0,2220.0,37.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,28.0,11.0,2280.0,38.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,30.0,17.0,2340.0,39.0,LBT070,1dpi
200804_LBT070_1dpi_Pos001,200804_LBT070_Pos001,32.0,16.0,2400.0,40.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,2.0,30.0,1500.0,25.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,4.0,26.0,1560.0,26.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,6.0,29.0,1620.0,27.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,8.0,27.0,1680.0,28.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,10.0,23.0,1740.0,29.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,12.0,25.0,1800.0,30.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,14.0,15.0,1860.0,31.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,16.0,17.0,1920.0,32.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,18.0,14.0,1980.0,33.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,20.0,11.0,2040.0,34.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,22.0,17.0,2100.0,35.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,24.0,18.0,2160.0,36.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,26.0,21.0,2220.0,37.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,28.0,12.0,2280.0,38.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,30.0,15.0,2340.0,39.0,LBT070,1dpi
200804_LBT070_1dpi_Pos003,200804_LBT070_Pos003,32.0,13.0,2400.0,40.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,2.0,32.0,1500.0,25.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,4.0,34.0,1560.0,26.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,6.0,30.0,1620.0,27.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,8.0,32.0,1680.0,28.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,10.0,28.0,1740.0,29.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,12.0,25.0,1800.0,30.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,14.0,29.0,1860.0,31.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,16.0,21.0,1920.0,32.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,18.0,24.0,1980.0,33.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,20.0,19.0,2040.0,34.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,22.0,20.0,2100.0,35.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,24.0,19.0,2160.0,36.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,26.0,16.0,2220.0,37.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,28.0,20.0,2280.0,38.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,30.0,19.0,2340.0,39.0,LBT070,1dpi
200804_LBT070_1dpi_Pos005,200804_LBT070_Pos005,32.0,16.0,2400.0,40.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,2.0,29.0,1500.0,25.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,4.0,26.0,1560.0,26.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,6.0,19.0,1620.0,27.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,8.0,21.0,1680.0,28.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,10.0,19.0,1740.0,29.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,12.0,19.0,1800.0,30.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,14.0,18.0,1860.0,31.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,16.0,14.0,1920.0,32.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,18.0,19.0,1980.0,33.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,20.0,17.0,2040.0,34.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,22.0,17.0,2100.0,35.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,24.0,18.0,2160.0,36.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,26.0,13.0,2220.0,37.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,28.0,14.0,2280.0,38.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,30.0,18.0,2340.0,39.0,LBT070,1dpi
200804_LBT070_1dpi_Pos006,200804_LBT070_Pos006,32.0,17.0,2400.0,40.0,LBT070,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,2.0,37.0,1500.0,25.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,4.0,27.0,1560.0,26.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,6.0,29.0,1620.0,27.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,8.0,38.0,1680.0,28.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,10.0,30.0,1740.0,29.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,12.0,34.0,1800.0,30.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,14.0,42.0,1860.0,31.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,16.0,40.0,1920.0,32.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,18.0,38.0,1980.0,33.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,20.0,35.0,2040.0,34.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,22.0,39.0,2100.0,35.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,24.0,47.0,2160.0,36.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,26.0,47.0,2220.0,37.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,28.0,54.0,2280.0,38.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,30.0,44.0,2340.0,39.0,LBT123,1dpi
200811_LBT123_1dpi_Pos002,200811_LBT123_Pos002,32.0,45.0,2400.0,40.0,LBT123,1dpi
200811_LBT123_1dpi_Pos003,200811_LBT123_Pos003,2.0,36.0,1500.0,25.0,LBT123,1dpi
200811_LBT123_1dpi_Pos003,200811_LBT123_Pos003,4.0,33.0,1560.0,26.0,LBT123,1dpi
