short_name,fish_id,time_point,tumor_volume,dt_min,time_in_min,cancer_cells,dpi,PixelSizeX,PixelSizeY,PixelSizeZ,time_in_h,tumor_volume_um,macrophage_mean_distance
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,0.0,771084.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,147161.85511082888,155.93043845864943
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,1.0,783615.0,30.0,6870.0,LBT070,5,0.4329,0.4329,1.0184,114.5,149553.40415917357,141.58181025534213
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,2.0,807969.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,154201.38002090735,164.51212885791193
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,3.0,805976.0,30.0,6930.0,LBT070,5,0.4329,0.4329,1.0184,115.5,153821.01474651977,175.08262994323945
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,4.0,834031.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0184,116.0,159175.32873194068,139.9310647852234
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,5.0,882440.0,30.0,6990.0,LBT070,5,0.4329,0.4329,1.0184,116.5,168414.21612171936,173.970811197017
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,6.0,879549.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0184,117.0,167862.46699565084,168.3291405137422
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,7.0,888051.0,30.0,7050.0,LBT070,5,0.4329,0.4329,1.0184,117.5,169485.07891880354,145.75691824396878
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,8.0,928405.0,30.0,7080.0,LBT070,5,0.4329,0.4329,1.0184,118.0,177186.66461004133,141.16356474726592
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,9.0,961382.0,30.0,7110.0,LBT070,5,0.4329,0.4329,1.0184,118.5,183480.3453192634,144.8965619686801
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,0.0,514089.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,98114.2014774926,171.73767032826805
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,1.0,490520.0,30.0,6870.0,LBT070,5,0.4329,0.4329,1.0184,114.5,93616.04334801888,280.72724421979143
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,2.0,513087.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,97922.96916191991,259.3338302456232
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,0.0,1002327.0,30.0,6840.0,LBT070,5,0.4329,0.4329,1.0184,114.0,191294.7237235785,125.63370593434963
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,1.0,929332.0,30.0,6870.0,LBT070,5,0.4329,0.4329,1.0184,114.5,177363.58312953822,123.28881142175358
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,2.0,889528.0,30.0,6900.0,LBT070,5,0.4329,0.4329,1.0184,115.0,169766.96527618964,151.35366746975393
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,3.0,863766.0,30.0,6930.0,LBT070,5,0.4329,0.4329,1.0184,115.5,164850.2717494595,147.38769076838545
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,4.0,832553.0,30.0,6960.0,LBT070,5,0.4329,0.4329,1.0184,116.0,158893.2515239402,136.76038086079427
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,5.0,829511.0,30.0,6990.0,LBT070,5,0.4329,0.4329,1.0184,116.5,158312.68395510578,121.95129204341308
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,6.0,821783.0,30.0,7020.0,LBT070,5,0.4329,0.4329,1.0184,117.0,156837.79040745535,126.382462533368
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,7.0,840623.0,30.0,7050.0,LBT070,5,0.4329,0.4329,1.0184,117.5,160433.4159816963,126.31914202773284
