short_name,fish_id,time_point,tumor_volume,dt_min,time_in_min,cancer_cells,dpi,PixelSizeX,PixelSizeY,PixelSizeZ,time_in_h,tumor_volume_um
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,0,660757,30,6840,LBT070,5,0.4329,0.4329,1.0184,114,126105.8794
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,1,675226,30,6870,LBT070,5,0.4329,0.4329,1.0184,114.5,128867.2969
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,2,699852,30,6900,LBT070,5,0.4329,0.4329,1.0184,115,133567.1841
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,3,707043,30,6930,LBT070,5,0.4329,0.4329,1.0184,115.5,134939.5909
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,4,731072,30,6960,LBT070,5,0.4329,0.4329,1.0184,116,139525.5403
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,5,754023,30,6990,LBT070,5,0.4329,0.4329,1.0184,116.5,143905.7528
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,6,779610,30,7020,LBT070,5,0.4329,0.4329,1.0184,117,148789.0474
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,7,787768,30,7050,LBT070,5,0.4329,0.4329,1.0184,117.5,150346.0068
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,8,829618,30,7080,LBT070,5,0.4329,0.4329,1.0184,118,158333.105
200804_LBT070_5dpi_Pos003,200804_LBT070_Pos003,9,881601,30,7110,LBT070,5,0.4329,0.4329,1.0184,118.5,168254.0925
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,0,500010,30,6840,LBT070,5,0.4329,0.4329,1.0184,114,95427.21568
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,1,482587,30,6870,LBT070,5,0.4329,0.4329,1.0184,114.5,92102.02542
200804_LBT070_5dpi_Pos005,200804_LBT070_Pos005,2,504583,30,6900,LBT070,5,0.4329,0.4329,1.0184,115,96299.97554
200804_LBT070_5dpi_Pos006,200804_LBT070_Pos006,0,884598,30,6840,LBT070,5,0.4329,0.4329,1.0184,114,168826.0717
